ID,メーカー,タイプ,商品名,汁,容量,麺量,熱量,たんぱく質,脂質,炭水化物,食塩_麺かやく,食塩_スープ,ビタミンB1,ビタミンB2,カルシウム
410,東洋水産,カップ,いつもの一杯 ワンタン麺 醤油豚骨,あり,78,60,367,8.6,17.9,42.9,1.1,3.2,0.26,0.27,125
411,東洋水産,カップ,赤いきつね焼うどん でか盛,なし,140,120,680,11.9,33.5,82.6,5.4,,0.47,0.52,266
412,まるか食品,カップ,ペヤング　超大盛やきそばハーフ＆ハーフカレー,なし,234,,1126,15.9,64.1,121.3,7.1,,,,
413,まるか食品,カップ,ペヤング　ジャーマンポテト風やきそば,なし,119,,548,9.3,29.8,60.7,3,,,,
414,まるか食品,カップ,ペヨング　カレーやきそば,なし,103,,467,7.7,22.4,58.6,3,,,,
415,まるか食品,カップ,ペヨング　イカスミやきそば,なし,103,,467,7.6,22.5,58.4,3,,,,
416,まるか食品,カップ,ペヤング　蕎麦風わさび味,なし,111,,514,8.2,27.9,57.4,3.3,,,,
417,まるか食品,カップ,ペヤング　善光寺御開帳記念 蕎麦風,なし,112,,530,8.7,29,58.6,3,,,,
418,まるか食品,カップ,ペヤング　獄激辛やきそばFinal,なし,119,,558,9.4,29.5,63.6,3.6,,,,
419,まるか食品,カップ,ペヤング　超大盛激辛やきそばマシマシキャベツ,なし,262,,1178,19.4,56.6,147.8,6.6,,,,
420,まるか食品,カップ,ペヤング 獄激辛にんにくやきそば,なし,116,,548,9,28.5,63.8,3.3,,,,
421,まるか食品,カップ,ペヤング 獄激辛担々やきそば,なし,114,,579,9.6,35,56.4,3.3,,,,
422,まるか食品,カップ,ペヤング　超超超超超超大盛やきそばペタマックス,なし,878,,4184,57.1,232.7,465.2,24.6,,,,
423,まるか食品,カップ,ペヤング　獄激辛やきそば,なし,119,,542,9.6,25.9,67.6,3.6,,,,
424,まるか食品,カップ,ペヤング　ソースやきそば超超超大盛ＧＩＧＡＭＡＸ,なし,439,,2142,28.5,120.7,235.3,13.5,,,,
425,まるか食品,カップ,ペヤング 超大盛やきそばハーフ&ハーフ激辛,なし,235,,1067,17.2,48.6,140.3,7.1,,,,
426,まるか食品,カップ,ペヤングソース やきそば,なし,120,,544,8.9,27.6,64.9,3.6,,,,
427,まるか食品,カップ,ペヤング ソースやきそば超大盛,なし,237,,1081,19,54.3,129.1,6.6,,,,
428,まるか食品,カップ,ペヨング ソースやきそば,なし,106,,456,7.4,20.5,60.5,3,,,,
429,まるか食品,カップ,ペヤング 激辛やきそば,なし,118,,556,8.6,29.1,64.8,3,,,,
430,明星,カップ,チャルメラカップ ワンピース コンソメトマト味,あり,68,55,308,7.1,12,42.8,1.7,2.5,1.14,0.22,92
431,明星,カップ,チャルメラカップ しょうゆ,あり,68,55,313,7.9,13.7,39.5,2,2.4,0.35,0.24,86
432,明星,カップ,チャルメラカップ 宮崎辛麺,あり,67,55,292,7.9,11.2,39.8,2,2.6,0.2,0.19,82
433,明星,カップ,チャルメラカップ 博多バリカタ豚骨,あり,65,50,259,8.6,6.6,41.4,1.7,2.5,0.53,0.23,155
434,明星,カップ,チャルメラカップ みそ,あり,72,55,327,8.7,13.8,42.1,2,2.4,0.2,0.24,87
435,明星,カップ,チャルメラカップ しお,あり,69,55,308,7.7,11.7,43,1.7,2.1,0.25,0.24,85
436,明星,カップ,チャルメラどんぶり 東京貝だし中華そば,あり,74,65,341,7.2,15.1,44.1,1.2,3.2,0.45,0.2,90
437,明星,カップ,チャルメラどんぶり 宮崎辛麺 (みやざきからめん),あり,77,65,358,7.2,16.8,44.6,1,3.5,0.17,0.21,100
438,明星,カップ,チャルメラどんぶり 仙台辛味噌ラーメン,あり,86,65,394,8.5,17.9,49.7,1.6,3,0.17,0.22,109
439,明星,カップ,チャルメラどんぶり 長崎焦がしちゃんぽん,あり,80,65,342,6.3,10.6,55.3,1,3.4,0.16,0.2,114
440,明星,カップ,チャルメラどんぶり 熊本マー油とんこつ,あり,82,65,380,8.8,17.1,47.8,1.7,3.6,0.19,0.21,120
441,明星,カップ,チャルメラどんぶり コーンとんこつラーメン,あり,82,65,374,8.7,16.3,48.1,1.2,4.2,0.17,0.21,221
442,明星,カップ,チャルメラどんぶり にんにくラーメン しょうゆとんこつ味,あり,82,65,385,9.2,17.7,47.1,0.8,3.9,0.17,0.21,220
443,明星,カップ,中華三昧タテ型 赤坂榮林 酸辣湯麺,あり,66,47,248,5.7,4.9,45.2,1.8,3.4,0.17,0.23,
444,明星,カップ,中華三昧タテ型 赤坂璃宮 広東風醤油,あり,64,47,250,6.5,6.2,42,1.7,3.3,0.62,0.24,
445,明星,カップ,中華三昧タテ型 中國料理北京 北京風香塩,あり,64,47,245,5.8,5,44.1,2,2.9,0.17,0.24,
446,明星,カップ,一平ちゃん 豚旨油そば,なし,115,90,531,7.8,26.1,66.3,4.9,,0.33,0.35,133
447,明星,カップ,評判屋 重ねだしわかめ醤油ラーメン,あり,65,55,238,5.9,4.7,42.9,1.5,2.3,0.36,0.2,107
448,明星,カップ,評判屋 重ねだしわんたん塩ラーメン,あり,67,55,237,6.5,3,45.9,1.2,2.8,0.37,0.23,90
449,明星,カップ,評判屋 重ねだしかきたまピリ辛塩ラーメン,あり,63,55,233,5.6,4.5,42.6,0.8,2.7,0.42,0.2,92
450,明星,カップ,評判屋 重ねだしかきたまうどん,あり,73,60,330,6.3,13.7,45.3,1.1,2.1,0.17,0.2,99
451,明星,カップ,評判屋 重ねだし鶏南蛮そば,あり,71,60,322,8.8,13.4,41.5,0.8,2.3,0.24,0.22,107
452,明星,カップ,ロカボNOODLES 野菜たっぷり 醤油,あり,55,40,152,7.6,5.4,33.9,1.7,2.3,,,
453,明星,カップ,ロカボNOODLES 野菜たっぷり タンメン,あり,57,40,169,7.6,6.6,35.8,1.5,2.2,,,
454,明星,カップ,麺神カップ 濃香豚骨,あり,95,70,371,10.1,8.5,63.5,2.2,4.2,0.29,0.35,444
455,明星,カップ,麺神カップ 宮崎辛麺 濃香激辛醤油,あり,94,70,363,9.8,7.7,63.5,3.3,4,0.66,0.39,136
456,明星,カップ,麺神カップ 濃香鶏白湯,あり,98,70,392,10.6,10.9,62.9,2.1,5.6,0.71,0.34,144
457,明星,カップ,麺神カップ 濃香醤油,あり,100,70,397,9.9,10.6,65.4,2.6,4.1,0.31,0.37,154
458,明星,カップ,麺神カップ 濃香味噌,あり,100,70,390,10.9,9.2,66,2.5,3.9,0.29,0.37,130
459,明星,カップ,ぶぶか油そば,なし,163,130,770,10.3,38.1,96.4,5.7,,0.31,0.34,197
460,明星,カップ,辛麺屋輪監修 トマト宮崎辛麺,あり,107,75,371,10.6,7.3,65.6,2,4,0.34,0.39,169
461,明星,カップ,ぶぶか油そば ガチ太,なし,162,130,728,10.7,31.7,100,6.2,,0.34,0.34,225
462,明星,カップ,沖縄そばタテ型,あり,69,55,302,7.1,11.5,42.6,1.6,2.3,0.19,0.24,125
463,明星,カップ,至極の一杯 コク黒とんこつラーメン,あり,67,50,311,8.2,13.7,38.7,1.3,2.6,0.21,0.23,91
464,明星,カップ,The淡麗 らぁ麺や嶋監修 醤油らぁ麺,あり,102,65,359,10.6,9.8,57,2.2,5.7,1.5,0.19,146
465,明星,カップ,麺とスープだけ 琥珀貝だし中華そば,あり,104,65,371,9.6,11,58.5,1.3,5.8,0.31,0.24,137
466,明星,カップ,日本初の拉麺ブームの店 淺草來々軒 醤油らぅめん,あり,90,70,337,8.6,6.1,61.9,2.5,4.1,1.78,0.35,106
467,明星,カップ,大砲ラーメン 明太高菜とんこつ味まぜそば,なし,158,130,695,11.6,29.3,96.2,7.2,,0.32,0.35,180
468,明星,カップ,The淡麗 麺や金時監修 塩わんたん麺,あり,94,65,369,9.1,10.6,59.4,2.6,4.3,,,102
469,明星,カップ,博多バリカタ ネギ豚骨,あり,88,65,351,11.8,9,55.8,2.2,4,0.78,0.35,212
470,明星,カップ,大砲ラーメン 昔ラーメン,あり,128,65,569,12,30.8,60.9,2.2,5.9,0.15,0.22,250
471,明星,カップ,至極の一杯 コク小海老天そば,あり,64,55,289,7.6,11.8,38.2,1.4,2.2,0.25,0.24,89
472,明星,カップ,至極の一杯 コクきつねうどん,あり,65,55,290,6.3,11.6,40.2,1.7,2.6,0.19,0.23,85
473,明星,カップ,至極の一杯 コク塩バター味ラーメン,あり,65,50,294,6.5,12,40,1.4,2.8,0.69,0.23,80
474,明星,カップ,至極の一杯 芳醇コク味噌ラーメン,あり,67,50,307,8,13.4,38.5,1.5,3.1,0.2,0.24,96
475,明星,カップ,至極の一杯 鶏コク醤油ラーメン,あり,66,50,300,7,13.3,38.1,1.3,3.9,0.93,0.24,86
476,明星,カップ,カップ 沖縄そば,あり,84,74,359,7.1,12.5,54.4,2,2.8,0.18,0.19,149
477,明星,カップ,中華三昧タテ型ビッグ 赤坂榮林 トマト酸辣湯麺,あり,98,70,379,9,7.8,68.1,2.9,4,0.26,0.32,123
478,明星,カップ,濃いぜ！一平ちゃんBIG 豚ねぎそば,あり,91,75,398,11,15.2,54.4,2.2,4.1,0.39,0.35,206
479,明星,カップ,濃いぜ！一平ちゃんBIG 豚たまごうどん,あり,90,75,400,8,16,55.9,2.2,3.5,0.3,0.35,163
480,明星,カップ,旨だし屋 かきたま鶏だし塩ラーメン 大盛,あり,96,85,342,10.1,4.7,64.8,2.1,4.6,0.2,0.3,177
481,明星,カップ,旨だし屋 わかめラーメン 大盛,あり,99,85,355,9.2,5.2,67.8,3.1,4.8,0.54,0.29,158
482,明星,カップ,旨だし屋 天ぷらそば 大盛(西向け),あり,116,90,550,12.5,26.1,66.2,2.1,5.5,0.34,0.31,146
483,明星,カップ,旨だし屋 天ぷらそば 大盛(東向け),あり,117,90,553,12.6,26.1,66.9,2.3,5.4,0.34,0.3,146
484,明星,カップ,旨だし屋 きつねうどん 大盛(西向け),あり,110,90,495,10.9,20.9,65.8,2.3,3.9,0.25,0.29,173
485,明星,カップ,旨だし屋 きつねうどん 大盛(東向け),あり,110,90,495,11.1,21.1,65.2,2.2,4,0.25,0.29,173
486,明星,カップ,一平ちゃん夜店の焼そば 焦がしにんにくたまり醤油味,なし,110,90,499,7.5,22,67.8,4.4,,0.39,0.34,136
487,明星,カップ,一平ちゃん夜店の焼そば わさびマヨ 醤油味,なし,114,90,520,9.8,24.7,64.6,4,,0.36,0.35,133
488,明星,カップ,一平ちゃん夜店の焼そば 26種のスパイス香るソース味,なし,119,90,522,9.6,23.2,68.6,4.2,,0.26,0.35,138
489,明星,カップ,一平ちゃん夜店の焼そば,なし,135,100,602,9.9,26.8,80.2,4.6,,0.31,0.35,161
490,明星,カップ,一平ちゃん夜店の焼そば 豚旨塩だれ味,なし,132,100,622,11.5,31.8,72.5,4.5,,0.26,0.36,147
491,明星,カップ,一平ちゃん夜店の焼そば 旨辛明太子味,なし,128,100,583,11.3,27.9,71.7,5,,0.27,0.36,148
492,明星,カップ,評判屋 重ねだしソース焼そば,なし,112,90,493,9.7,20.2,68,2.2,,0.35,0.35,138
493,明星,カップ,評判屋 重ねだし塩焼そば,なし,104,90,488,9.8,22.1,62.5,2.1,,0.32,0.34,135
494,明星,カップ,ロカボNOODLES 野菜たっぷり ソース焼そば,なし,120,90,523,10.3,32.1,61.4,3.6,,,,
495,明星,カップ,みかさ監修 塩焼そば,なし,165,130,735,10.4,32.9,99.4,7,,0.48,0.35,203
496,明星,カップ,一平ちゃん夜店の焼そば 大盛 からあげ 旨塩味,なし,170,130,781,15.3,37,96.6,6.8,,0.36,0.36,209
497,明星,カップ,一平ちゃん夜店の焼そば 大盛 ,なし,175,130,790,11.9,36.4,103.7,6.7,,0.4,0.46,205
498,明星,袋,麺神 宮崎辛麺 濃香激辛醤油,あり,113,90,398,11.5,7.1,72.1,3,5.6,,,155
499,明星,袋,サラダが超絶うまい 冷やしまぜそば 麺屋こころ監修台湾風旨辛味,なし,118,90,434,11.4,10.3,73.9,5.5,,,,
500,明星,袋,サラダが超絶うまい 冷やしまぜそば 信玄監修ごま味噌味,なし,129,90,467,11.7,10.5,81.3,5.1,,,,
501,明星,袋,チャルメラ 宮崎辛麺 ちょい辛しょうゆ味,あり,95,85,432,8.7,17.6,59.6,2.3,3.6,0.34,0.42,164
502,明星,袋,チャルメラ もやしが超絶うまい 辛まぜそば 辛旨ニンニク味,なし,93,85,406,9.4,12.8,63.3,5.1,,0.36,0.4,206
503,明星,袋,チャルメラ もやしが超絶うまい まぜそば ニンニクしょうゆ味,なし,92,85,399,8.4,13.3,61.5,5.1,,0.48,0.4,251
504,明星,袋,評判屋 重ねだしまろやか豚骨ラーメン,あり,85,80,392,8.3,16.3,52.9,1.2,2.2,0.22,0.28,111
505,明星,袋,麺神 濃香醤油,あり,120,90,424,12.8,7.9,75.4,2.4,5.3,,,281
506,明星,袋,麺神 濃香味噌,あり,120,90,419,13.1,7.7,74.3,2.3,6.4,,,182
507,明星,袋,中華三昧 重慶飯店 麻辣火鍋,あり,102,80,366,8.9,6.5,68,3,4.5,,,
508,明星,袋,チャルメラ 宮崎辛麺,あり,96,85,434,8.9,17.5,60.1,2.3,4.1,0.34,0.42,171
509,明星,袋,評判屋 重ねだし味噌ラーメン,あり,86,80,394,8.8,16.4,52.9,1.1,2.4,0.22,0.28,112
510,明星,袋,チャルメラ バリカタ麺豚骨,あり,82,70,303,10.4,5,54.1,1.8,3.6,0.25,0.35,203
511,明星,袋,チャルメラ ちゃんぽん,あり,95,85,415,8.1,14.2,63.6,1.9,4.1,0.33,0.41,245
512,明星,袋,中華三昧 赤坂榮林 酸辣湯麺,あり,103,70,380,11.3,9.8,61.6,1.9,4.3,,,
513,明星,袋,評判屋 重ねだし醤油ラーメン,あり,86,80,395,7.9,16.3,54.1,1.1,2.4,0.22,0.28,112
514,明星,袋,評判屋 重ねだし塩ラーメン,あり,85,80,388,8.2,15.6,53.7,1.2,2.4,0.22,0.27,152
515,明星,袋,チャルメラ 新味,あり,98,90,450,8.6,19.2,60.7,1.9,3.4,0.44,0.42,179
516,明星,袋,チャルメラ しょうゆラーメン,あり,97,90,441,8.5,17.8,61.6,2.1,3.8,0.44,0.42,179
517,明星,袋,チャルメラ みそラーメン,あり,99,90,440,9.6,16.8,62.6,1.8,3.7,0.35,0.45,191
518,明星,袋,チャルメラ 塩ラーメン,あり,99,90,457,9.1,19.1,62.2,2,3.4,0.57,0.43,181
519,明星,袋,沖縄そば,あり,92,85,395,8.7,12.6,61.8,1.4,2.8,0.32,0.29,230
520,明星,袋,中華三昧 赤坂璃宮 涼麺,なし,139,90,463,11.2,6.6,89.8,5.3,,,,
521,明星,袋,中華三昧 赤坂璃宮 広東風醤油,あり,104,80,364,8.4,7.3,66.1,2.1,4.3,,,
522,明星,袋,中華三昧 中國料理北京 北京風香塩,あり,103,80,368,8.1,7.5,67.1,2.2,4.3,,,
523,明星,袋,中華三昧 四川飯店 四川風味噌,あり,103,80,374,8.9,7.9,66.7,2.5,4,,,
524,明星,袋,鉄板焼そば,なし,109,93,481,9.6,18.8,68.4,4.2,,0.31,0.34,220
525,明星,袋,鉄板焼そば かつお風味,なし,100,93,467,9.7,18.3,65.9,3.7,,0.28,0.29,203
